SalesID,Date,ProductID,DistributorID,Region,UnitsSold,InvoiceAmount,DiscountPercent,TaxPercent,PaymentMethod
S000067,2024-08-16,P01624,D07104,East,439,961.41,10.53,12.87,Cheque
S000068,2024-01-20,P00906,D07008,East,123,279.21,5.38,13.15,Cheque
S000069,2024-09-23,P08581,D08167,North,5,35.0,6.42,7.87,Credit
S000070,2024-06-16,P06351,D05029,West,117,1179.36,13.2,14.74,Cheque
S000071,2024-04-23,P04371,D09494,South,390,791.7,7.47,9.06,Cheque
S000072,2024-06-01,P07803,D08016,Central,441,3192.84,2.0,8.09,Credit
S000073,2024-07-07,P09732,D06001,East,148,244.2,13.6,16.64,Cash
S000074,2024-02-16,P05272,D09410,South,191,439.3,6.4,6.57,Cheque
S000075,2024-08-07,P05772,D07305,Central,126,107.1,10.53,7.86,Cheque
S000076,2024-12-09,P07023,D06628,East,439,2019.4,3.08,17.48,Online
S000077,2024-12-11,P04722,D01186,East,223,2477.53,1.96,15.14,Cheque
S000078,2024-10-03,P02362,D02511,Central,79,111.39,13.83,7.53,Cash
S000079,2024-11-19,P03058,D06738,North,156,673.92,10.75,12.73,Cheque
S000080,2024-10-29,P07342,D09646,South,166,338.64,14.06,12.17,Online
S000081,2024-05-21,P07715,D04073,West,90,1080.0,7.43,8.06,Cash
S000082,2024-12-20,P04932,D00129,Central,160,572.8,14.04,11.98,Cheque
S000083,2024-11-10,P03972,D02418,West,305,3080.5,0.97,16.28,Cash
S000084,2024-12-13,P04019,D03755,East,204,1576.92,5.76,15.43,Online
S000085,2024-03-20,P00682,D04035,East,311,3019.81,4.76,10.94,Cheque
S000086,2024-02-19,P05937,D08875,North,14,133.42,10.34,12.23,Cash
S000087,2024-01-01,P06718,D00961,Central,367,1200.09,2.16,7.14,Credit
S000088,2024-01-01,P07992,D09439,North,111,319.68,13.42,11.67,Online
S000089,2024-03-22,P00779,D04804,East,216,810.0,1.35,11.07,Credit
S000090,2024-09-30,P07923,D03560,East,458,943.48,11.77,12.09,Cheque
S000091,2024-02-13,P09263,D00151,South,194,137.74,1.81,15.18,Cash
S000092,2024-06-22,P01724,D03655,North,444,2477.52,6.29,9.45,Cheque
S000093,2024-12-14,P00667,D06368,North,47,145.7,3.23,17.07,Cash
S000094,2024-02-08,P08443,D04463,Central,156,382.2,2.21,11.9,Credit
S000095,2024-09-21,P04165,D03077,West,44,314.6,12.3,7.03,Credit
S000096,2024-09-12,P05248,D06563,Central,471,1243.44,8.47,14.77,Cash
S000097,2024-02-23,P08198,D04047,West,33,69.96,11.46,15.98,Online
S000098,2024-11-26,P03803,D09309,East,272,1618.4,2.99,11.99,Online
S000099,2024-08-19,P00021,D05536,North,292,627.8,1.09,14.84,Cheque
S000100,2024-10-21,P01677,D07423,North,332,803.44,2.7,17.12,Cheque
S000101,2024-03-13,P05189,D08407,North,266,3213.28,6.04,10.11,Cash
S000102,2024-02-02,P00549,D08140,South,252,143.64,5.02,7.04,Cash
S000103,2024-07-03,P06295,D00089,West,105,250.95,7.4,16.57,Cash
S000104,2024-02-24,P02510,D01089,West,236,285.56,12.99,10.57,Cheque
S000105,2024-07-27,P05975,D01036,North,121,978.89,11.99,11.44,Cheque
S000106,2024-02-09,P04558,D09750,West,274,2049.52,11.43,13.06,Credit
S000107,2024-06-25,P09621,D00210,Central,473,2937.33,12.99,10.94,Cash
S000108,2024-11-30,P03783,D06669,South,358,2649.2,0.2,12.33,Online
S000109,2024-05-06,P08264,D01725,East,382,1539.46,4.32,12.23,Cheque
S000110,2024-05-02,P02715,D07692,East,252,854.28,2.84,8.66,Cheque
S000111,2024-05-24,P06392,D03466,West,153,1780.92,1.51,8.7,Credit
S000112,2024-06-15,P09881,D05896,West,446,5079.94,5.02,6.38,Cash
S000113,2024-06-05,P04124,D06321,East,188,1656.28,1.56,9.33,Cheque
S000114,2024-12-13,P00762,D06081,South,189,1408.05,11.36,6.83,Online
S000115,2024-10-09,P04468,D05821,Central,400,4328.0,3.42,6.78,Cheque
S000116,2024-10-10,P09104,D08034,West,60,339.0,0.23,8.37,Online
S000117,2024-08-29,P03172,D01374,Central,204,1026.12,9.01,12.52,Cheque
S000118,2024-03-03,P01008,D00427,South,335,1765.45,1.03,14.35,Credit
S000119,2024-07-07,P09579,D05437,Central,96,552.96,4.9,15.72,Cash
S000120,2024-08-23,P06061,D06434,South,336,3769.92,0.23,15.62,Cheque
S000121,2024-01-13,P06400,D06099,East,373,2577.43,10.35,12.89,Cash
S000122,2024-08-11,P02980,D07201,East,344,608.88,8.02,14.66,Cash
S000123,2024-08-14,P03504,D07120,North,35,220.5,7.73,14.35,Online
S000124,2024-01-04,P06977,D02369,West,301,692.3,12.99,8.76,Cash
S000125,2024-06-13,P07749,D05251,Central,57,30.21,11.74,8.49,Credit
S000126,2024-03-23,P08442,D06584,East,441,3973.41,5.32,11.14,Cash
S000127,2024-08-29,P03674,D02414,West,32,285.76,2.3,15.92,Online
S000128,2024-03-26,P05220,D07523,West,355,1114.7,13.32,10.36,Cash
S000129,2024-05-10,P03441,D09981,Central,489,3036.69,8.85,11.31,Online
S000130,2024-08-14,P02249,D03493,Central,155,258.85,3.5,8.93,Online
S000131,2024-10-04,P00232,D00852,Central,75,510.75,12.55,17.05,Credit
S000132,2024-04-01,P05522,D05207,East,173,499.97,7.4,5.2,Credit
S000133,2024-02-14,P01074,D04728,North,3,20.28,8.7,9.75,Online
S000134,2024-01-11,P06466,D09181,Central,122,147.62,5.47,11.03,Cheque
S000135,2024-01-30,P05741,D01584,North,75,374.25,7.06,10.77,Cash
S000136,2024-01-20,P08763,D05272,Central,173,1707.51,13.94,9.29,Cash
S000137,2024-03-21,P03752,D09028,East,222,1949.16,0.01,9.07,Online
S000138,2024-08-04,P02580,D01155,Central,375,2726.25,2.72,10.28,Cash
S000139,2024-10-01,P07597,D02150,North,200,462.0,10.93,7.71,Cash
S000140,2024-03-31,P07516,D09852,Central,80,680.8,5.72,13.39,Online
S000141,2024-03-19,P05844,D08148,South,189,1546.02,13.11,9.0,Credit
S000142,2024-09-10,P04968,D09032,South,199,1719.36,14.96,6.82,Cheque
S000143,2024-07-08,P07165,D02382,East,353,924.86,12.56,10.05,Cash
S000144,2024-08-19,P03110,D00163,West,234,938.34,8.75,16.76,Credit
S000145,2024-11-02,P06848,D09946,South,418,4309.58,9.52,6.05,Cheque
S000146,2024-05-29,P08187,D08127,South,164,1267.72,3.26,5.35,Online
S000147,2024-08-12,P01231,D09185,West,17,27.03,7.9,7.19,Online
S000148,2024-05-26,P08052,D05776,East,154,1754.06,5.25,10.63,Credit
S000149,2024-11-06,P01329,D01237,South,390,1938.3,6.75,15.82,Online
S000150,2024-10-15,P08563,D05057,Central,104,854.88,11.18,10.03,Cash
S000151,2024-10-26,P02275,D01148,Central,149,500.64,5.47,8.57,Cash
S000152,2024-10-30,P07378,D07388,North,414,1399.32,5.38,16.12,Online
S000153,2024-01-19,P07539,D04999,Central,428,2294.08,8.84,16.29,Cheque
S000154,2024-04-21,P06815,D04738,East,50,314.5,5.94,13.02,Credit
S000155,2024-12-02,P03834,D08457,Central,51,570.18,11.52,15.43,Credit
S000156,2024-05-06,P05166,D07568,West,8,72.4,2.37,9.56,Cash
S000157,2024-02-06,P04019,D08662,West,230,1069.5,13.92,13.22,Credit
S000158,2024-09-17,P04228,D00203,West,281,3068.52,2.93,7.32,Cash
S000159,2024-12-09,P05179,D09893,South,99,839.52,8.16,14.17,Cash
S000160,2024-08-26,P03102,D00484,Central,314,1029.92,11.22,16.46,Cheque
S000161,2024-10-01,P03106,D01906,Central,402,1656.24,3.92,11.83,Cash
S000162,2024-05-31,P09189,D01790,West,417,5179.14,12.01,5.99,Cheque
S000163,2024-06-06,P05304,D07449,East,247,1662.31,7.92,6.3,Cash
S000164,2024-03-21,P00828,D05536,West,373,2689.33,14.66,16.23,Credit
S000165,2024-09-12,P07199,D04494,North,14,72.52,9.96,7.46,Cheque
S000166,2024-07-07,P00703,D04202,West,439,4706.08,8.87,17.85,Cash
S000167,2024-08-17,P08801,D03880,East,200,2568.0,5.98,5.42,Cash
S000168,2024-01-18,P02550,D03300,Central,483,4936.26,12.11,12.63,Cheque
S000169,2024-08-02,P07600,D01318,West,375,3026.25,9.35,16.74,Online
S000170,2024-12-17,P03407,D04677,West,87,763.86,12.38,12.55,Credit
S000171,2024-05-12,P02267,D00340,North,415,3403.0,6.57,17.46,Cheque
S000172,2024-07-05,P02183,D08456,Central,281,3501.26,13.29,9.19,Credit
S000173,2024-06-07,P09602,D09618,East,404,2298.76,0.57,15.79,Cheque
S000174,2024-01-31,P01516,D03766,South,464,2955.68,10.61,16.35,Credit
S000175,2024-10-13,P05540,D06900,West,317,393.08,5.67,17.68,Cash
S000176,2024-01-18,P00731,D03152,West,199,947.24,14.23,16.6,Credit
S000177,2024-02-06,P06331,D04005,East,159,882.45,3.32,6.98,Cash
S000178,2024-09-13,P03300,D00577,South,256,3164.16,4.54,9.59,Cash
S000179,2024-10-13,P03350,D05814,West,318,2874.72,6.98,6.43,Credit
S000180,2024-02-07,P05156,D03588,West,235,1757.8,10.36,15.84,Cheque
S000181,2024-08-08,P06636,D02812,West,432,902.88,10.76,13.32,Online
S000182,2024-06-06,P06919,D01288,East,199,1968.11,7.8,6.63,Cash
S000183,2024-01-02,P02622,D08091,West,454,4816.94,9.62,14.64,Cheque
S000184,2024-04-25,P03037,D05504,North,410,282.9,8.72,13.47,Cheque
S000185,2024-03-04,P02346,D09750,East,306,3708.72,13.66,10.56,Online
S000186,2024-05-26,P00052,D03850,West,173,1126.23,4.28,14.56,Credit
S000187,2024-03-16,P03544,D09772,South,22,89.32,7.71,15.15,Online
S000188,2024-09-30,P07538,D04879,North,389,1882.76,13.12,10.43,Credit
S000189,2024-09-23,P08796,D01795,East,208,328.64,10.26,10.77,Online
S000190,2024-08-02,P08351,D09646,East,249,602.58,13.45,6.97,Cash
S000191,2024-09-02,P03969,D02401,South,225,1788.75,12.41,15.01,Cash
S000192,2024-09-15,P06477,D07643,East,149,1187.53,1.87,7.19,Cash
S000193,2024-08-18,P08468,D06954,North,436,1185.92,9.65,17.32,Cash
S000194,2024-03-04,P02772,D05134,North,154,386.54,8.18,6.24,Credit
S000195,2024-01-28,P01807,D01947,Central,335,1319.9,8.02,15.23,Cheque
S000196,2024-08-31,P09894,D04256,South,417,5233.35,12.0,7.85,Online
S000197,2024-08-14,P06926,D08138,East,158,598.82,4.75,10.49,Credit
S000198,2024-07-16,P09108,D00575,Central,56,143.92,14.97,5.06,Online
S000199,2024-01-26,P02392,D06568,North,15,192.3,8.79,16.48,Cheque
S000200,2024-09-15,P01706,D03069,South,87,392.37,14.21,8.49,Cheque
S000201,2024-09-07,P08931,D03000,West,244,1171.2,10.94,5.39,Credit
S000202,2024-01-15,P03011,D01233,West,1,8.12,1.04,17.14,Cash
S000203,2024-11-16,P04600,D06928,South,119,339.15,7.23,15.06,Online
S000204,2024-12-24,P04089,D09774,East,418,936.32,12.98,6.62,Credit
S000205,2024-01-24,P01992,D00416,East,293,1333.15,6.99,10.39,Cheque
S000206,2024-08-26,P08059,D08014,East,67,79.73,4.39,14.86,Cash
S000207,2024-09-20,P04871,D03057,North,271,1867.19,3.36,6.07,Cash
S000208,2024-09-30,P09908,D03879,West,9,73.17,8.79,15.26,Cash
S000209,2024-02-29,P05746,D00135,East,233,624.44,11.12,12.32,Online
S000210,2024-06-12,P09483,D00641,Central,283,2360.22,4.0,11.17,Cash
S000211,2024-12-16,P02566,D00708,East,444,3343.32,2.84,17.4,Cheque
S000212,2024-12-03,P05046,D04785,West,357,1756.44,2.41,17.25,Online
S000213,2024-08-31,P05619,D07849,West,15,10.05,8.65,14.61,Cheque
S000214,2024-08-08,P01397,D08152,East,304,279.68,2.83,14.13,Credit
S000215,2024-05-27,P08042,D02207,West,10,110.8,4.49,10.22,Online
S000216,2024-02-03,P07529,D03173,South,97,738.17,7.78,8.51,Cheque
S000217,2024-12-25,P03772,D01602,East,456,2115.84,6.72,12.45,Online
S000218,2024-08-13,P01122,D01817,West,256,386.56,7.96,17.39,Credit
S000219,2024-12-05,P06587,D03565,West,250,2212.5,4.22,17.91,Online
S000220,2024-11-21,P08952,D09154,South,232,2872.16,4.29,11.85,Credit
S000221,2024-06-22,P09115,D05186,Central,155,1743.75,1.88,16.22,Cash
S000222,2024-07-25,P02381,D00716,West,87,1128.39,10.61,13.49,Credit
S000223,2024-06-06,P03921,D06061,East,425,1258.0,13.31,5.81,Cash
S000224,2024-04-12,P03510,D06777,Central,464,4440.48,6.91,17.26,Cash
S000225,2024-04-03,P04391,D09954,West,291,2362.92,2.29,8.9,Cheque
S000226,2024-06-22,P01455,D08703,Central,178,1438.24,2.86,11.38,Credit
S000227,2024-08-09,P06626,D00031,South,342,533.52,13.14,11.26,Cash
S000228,2024-11-21,P02551,D05292,East,282,3133.02,8.26,11.84,Credit
S000229,2024-09-16,P05538,D04903,North,61,715.53,13.94,12.15,Cheque
S000230,2024-03-15,P00602,D02142,Central,92,655.96,8.34,13.9,Credit
S000231,2024-06-13,P09457,D05274,North,174,1825.26,14.26,12.99,Credit
S000232,2024-11-17,P00272,D00455,South,173,1551.81,8.96,15.54,Cash
S000233,2024-03-03,P00125,D05660,North,110,1039.5,13.08,14.14,Online
S000234,2024-04-07,P08594,D01321,Central,365,3259.45,5.29,10.31,Credit
S000235,2024-11-12,P09994,D05595,North,387,2798.01,3.21,11.5,Cheque
S000236,2024-09-09,P04961,D02006,West,494,2005.64,10.15,5.94,Credit
S000237,2024-09-10,P07862,D02451,North,50,324.0,2.03,16.14,Cheque
S000238,2024-05-31,P02005,D02117,Central,471,734.76,1.01,12.49,Cash
S000239,2024-09-22,P04247,D04130,Central,197,1085.47,1.55,14.19,Cheque
S000240,2024-01-28,P08542,D07356,East,18,223.56,5.27,10.16,Cheque
S000241,2024-03-05,P08571,D01348,West,3,34.08,10.71,9.52,Cheque
S000242,2024-01-01,P05338,D01755,South,157,959.27,13.3,16.37,Cash
S000243,2024-04-11,P05050,D02002,North,466,2809.98,7.86,17.22,Online
S000244,2024-01-02,P03134,D04005,East,196,1203.44,10.98,12.28,Cheque
S000245,2024-02-02,P01970,D04091,Central,311,2413.36,6.94,6.39,Cash
S000246,2024-06-22,P02094,D09526,Central,279,1336.41,13.4,14.83,Online
S000247,2024-09-09,P07428,D03987,South,158,717.32,1.53,17.75,Cheque
S000248,2024-03-21,P00975,D04822,South,17,95.03,12.93,13.88,Credit
S000249,2024-08-09,P06752,D06673,South,259,1608.39,8.57,10.38,Credit
S000250,2024-03-16,P09321,D08554,North,248,1951.76,6.94,7.4,Cheque
S000251,2024-02-12,P07133,D00924,Central,288,1540.8,4.62,16.79,Cash
S000252,2024-04-26,P08461,D03473,North,66,382.8,11.09,16.82,Credit
S000253,2024-04-04,P02865,D03674,West,30,64.2,10.71,6.14,Online
S000254,2024-04-20,P03610,D01716,East,324,2805.84,2.37,9.25,Online
S000255,2024-05-01,P02025,D03413,South,147,479.22,11.55,14.38,Online
S000256,2024-11-14,P07859,D05075,Central,161,1440.95,7.73,12.96,Cash
S000257,2024-02-15,P01003,D08025,East,83,316.23,3.73,11.8,Cash
S000258,2024-06-07,P00852,D07444,Central,197,669.8,2.96,13.26,Cash
S000259,2024-02-11,P08586,D02258,East,246,260.76,2.05,13.97,Cheque
S000260,2024-04-28,P08706,D05548,East,468,1825.2,9.86,17.92,Credit
S000261,2024-10-10,P00339,D06742,West,466,3737.32,6.6,16.56,Credit
S000262,2024-08-19,P09682,D07036,Central,171,906.3,0.34,8.84,Cash
S000263,2024-03-12,P01744,D04062,North,385,4373.6,11.64,14.87,Cheque
S000264,2024-10-09,P09981,D01458,Central,360,1652.4,4.39,10.85,Cheque
S000265,2024-02-22,P05406,D01983,West,117,821.34,3.27,7.19,Credit
S000266,2024-07-04,P07433,D02536,West,255,3187.5,13.93,5.82,Online
S000267,2024-04-19,P03270,D01627,East,359,4537.76,5.14,16.5,Credit
S000268,2024-04-21,P02190,D09593,North,195,1417.65,13.19,8.59,Online
S000269,2024-09-05,P03705,D03923,North,390,573.3,7.51,17.82,Credit
S000270,2024-02-15,P04771,D05225,South,414,765.9,3.6,16.42,Cheque
S000271,2024-02-19,P03873,D04100,South,76,767.6,4.18,15.93,Cash
S000272,2024-12-21,P05735,D05664,West,384,1463.04,1.35,10.77,Cheque
S000273,2024-01-09,P03516,D05329,North,13,134.55,1.53,6.65,Cheque
S000274,2024-07-28,P09362,D06097,West,391,3671.49,3.62,12.02,Cash
S000275,2024-03-07,P06542,D09391,East,301,1956.5,9.08,13.99,Cash
S000276,2024-06-06,P01686,D03116,Central,401,2530.31,4.84,11.57,Cash
S000277,2024-09-30,P05253,D07095,North,151,1667.04,8.61,12.83,Cheque
S000278,2024-04-15,P07679,D02209,Central,202,2587.62,2.93,17.39,Cash
S000279,2024-05-01,P08073,D08023,Central,86,334.54,2.68,14.06,Credit
S000280,2024-10-14,P09925,D03030,West,330,323.4,1.62,9.23,Credit
S000281,2024-08-24,P07973,D01870,East,420,4321.8,0.96,7.53,Credit
S000282,2024-05-06,P05825,D02838,West,205,1476.0,8.82,8.87,Cash
S000283,2024-05-31,P03615,D04974,Central,187,2129.93,14.0,15.83,Cash
S000284,2024-12-19,P08554,D08589,South,279,1858.14,5.93,7.52,Cash
S000285,2024-02-17,P04783,D01566,West,360,1036.8,14.76,8.53,Cheque
S000286,2024-06-29,P00681,D00433,South,122,1544.52,8.41,14.23,Credit
S000287,2024-11-08,P09174,D03304,South,108,426.6,12.6,15.44,Online
S000288,2024-09-24,P01896,D00558,West,293,2223.87,8.48,6.37,Credit
S000289,2024-08-22,P05563,D01395,South,11,98.23,7.2,16.05,Online
S000290,2024-12-06,P04307,D06683,West,117,980.46,9.04,5.15,Cash
S000291,2024-04-21,P03879,D05027,East,472,1538.72,14.8,6.92,Online
S000292,2024-07-11,P03822,D09029,North,421,5460.37,7.14,6.67,Credit
S000293,2024-07-05,P01006,D06455,West,350,3076.5,13.37,12.42,Credit
S000294,2024-02-17,P00145,D05567,East,131,1406.94,9.32,15.19,Cash
S000295,2024-05-01,P07724,D08144,North,155,2013.45,4.88,6.42,Cash
S000296,2024-09-02,P00510,D06747,Central,457,5378.89,4.02,10.77,Online
S000297,2024-10-26,P03567,D06661,West,152,1848.32,9.08,10.37,Credit
S000298,2024-12-19,P03011,D06153,North,359,2983.29,8.56,7.55,Online
S000299,2024-12-01,P03182,D07110,West,477,1750.59,10.43,8.73,Online
S000300,2024-01-05,P08893,D02012,East,133,680.96,9.31,13.1,Cheque
S000301,2024-11-10,P06066,D04517,Central,342,2308.5,14.75,11.88,Cheque
S000302,2024-06-19,P05431,D08734,Central,16,117.44,2.67,8.81,Credit
S000303,2024-01-21,P05402,D00948,Central,441,2601.9,7.32,7.25,Cash
S000304,2024-06-19,P07135,D02444,Central,118,1224.84,2.54,14.68,Cheque
S000305,2024-10-13,P03767,D02514,West,27,225.45,1.93,7.16,Online
S000306,2024-10-27,P04472,D02047,North,95,1121.95,7.37,5.13,Online
S000307,2024-07-15,P05231,D08604,East,88,532.4,10.68,16.4,Cheque
S000308,2024-04-05,P01307,D06765,North,333,2683.98,12.18,6.27,Cash
S000309,2024-02-24,P06676,D03769,Central,462,5668.74,10.17,9.33,Credit
S000310,2024-06-13,P03645,D09699,South,337,1947.86,2.22,7.85,Cheque
S000311,2024-04-29,P05665,D04586,East,356,3560.0,14.69,9.72,Cash
S000312,2024-03-22,P04353,D03145,South,19,62.51,7.58,13.31,Credit
S000313,2024-11-06,P07385,D03393,Central,191,662.77,5.37,16.83,Online
S000314,2024-06-05,P02370,D00512,South,207,2295.63,7.48,15.26,Cheque
S000315,2024-10-18,P00391,D01370,North,369,376.38,2.33,10.6,Cheque
S000316,2024-03-30,P03709,D05421,East,324,3201.12,14.9,10.63,Cash
S000317,2024-02-04,P03852,D04160,North,226,1972.98,4.24,17.7,Credit
S000318,2024-06-14,P07914,D01091,East,157,806.98,2.87,14.42,Cheque
S000319,2024-02-17,P07637,D08504,Central,12,74.64,0.15,7.23,Cash
S000320,2024-07-01,P04700,D05608,West,101,1230.18,9.67,8.1,Online
S000321,2024-11-08,P07991,D01968,North,216,144.72,12.31,11.55,Online
S000322,2024-09-23,P05035,D08792,South,415,1618.5,3.63,17.61,Online
S000323,2024-05-04,P00729,D07584,North,316,1093.36,1.43,6.01,Credit
S000324,2024-10-01,P02737,D02162,East,149,531.93,2.48,17.97,Online
S000325,2024-05-22,P04497,D07651,North,5,32.15,2.75,12.88,Cheque
S000326,2024-06-02,P03579,D04879,South,371,3123.82,1.96,12.59,Credit
S000327,2024-07-03,P09832,D01812,East,358,3486.92,5.74,8.58,Credit
S000328,2024-10-15,P08601,D09179,Central,441,2121.21,1.11,8.45,Online
S000329,2024-06-21,P03123,D07573,Central,382,2895.56,13.76,16.36,Online
S000330,2024-07-19,P03459,D06860,South,157,414.48,5.99,15.48,Online
S000331,2024-11-06,P01893,D06061,East,424,2018.24,8.62,13.98,Cheque
S000332,2024-02-18,P08941,D08105,West,185,1689.05,13.19,6.39,Online
S000333,2024-12-05,P00570,D08237,East,351,3355.56,8.42,13.99,Credit
S000334,2024-09-06,P02223,D05384,West,415,2626.95,7.7,12.36,Cash
S000335,2024-03-29,P06276,D04578,South,144,1558.08,7.88,7.62,Credit
S000336,2024-02-17,P06293,D03000,Central,269,793.55,1.19,8.66,Credit
S000337,2024-07-23,P07857,D05010,South,265,2456.55,11.72,7.9,Online
S000338,2024-03-16,P07514,D07235,Central,343,651.7,14.94,7.54,Cash
S000339,2024-07-30,P05772,D00734,South,246,2428.02,3.18,8.46,Credit
S000340,2024-06-03,P03940,D02708,North,178,1804.92,11.02,8.47,Online
S000341,2024-07-30,P03067,D02542,North,493,3169.99,9.88,12.77,Cheque
S000342,2024-11-30,P02476,D04866,East,92,1184.04,4.17,10.55,Online
S000343,2024-06-17,P05957,D04709,South,457,5447.44,5.45,8.31,Cheque
S000344,2024-09-25,P03362,D05954,Central,332,1188.56,11.8,9.77,Cheque
S000345,2024-09-27,P08865,D08164,West,300,2397.0,13.03,15.12,Cheque
S000346,2024-08-05,P08541,D04406,East,148,293.04,12.29,5.42,Cheque
S000347,2024-11-29,P00937,D03979,North,62,455.08,12.14,11.92,Cash
S000348,2024-08-12,P03103,D00224,Central,75,762.75,10.5,6.64,Credit
