InventoryID,ProductID,BatchNo,StockLevel,ReorderLevel,ManufacturingDate,ExpiryDate,PlantLocation,WarehouseType,UnitCost
I000098,P06436,B00371,917,92,2023-04-11,2026-04-09,Mumbai,Transit,0.68
I000099,P09285,B01819,947,129,2023-11-05,2026-03-27,Chennai,Secondary,7.02
I000100,P08873,B02320,558,139,2023-12-24,2026-06-26,Ahmedabad,Transit,4.03
I000101,P00486,B00653,165,127,2023-04-10,2025-10-23,Pune,Main,8.85
I000102,P06176,B00193,162,169,2023-04-27,2026-04-01,Bangalore,Secondary,8.16
I000103,P02555,B01732,744,81,2023-01-01,2024-05-08,Bangalore,Main,3.4
I000104,P03386,B03192,586,188,2023-12-18,2025-03-06,Pune,Transit,7.01
I000105,P07379,B01354,998,151,2023-05-15,2025-12-29,Bangalore,Transit,3.14
I000106,P07567,B02440,739,170,2023-06-26,2025-12-15,Bangalore,Transit,1.33
I000107,P05683,B00532,631,130,2023-11-01,2025-03-29,Kolkata,Main,5.69
I000108,P00004,B03147,734,137,2023-06-24,2025-09-22,Ahmedabad,Transit,9.35
I000109,P01979,B03463,412,62,2023-09-03,2026-04-19,Ahmedabad,Main,9.44
I000110,P00333,B04332,604,153,2023-10-21,2025-11-09,Kolkata,Secondary,9.97
I000111,P02960,B00641,758,174,2023-06-05,2025-08-04,Mumbai,Transit,8.92
I000112,P07073,B04418,656,124,2023-02-22,2025-01-27,Ahmedabad,Main,0.44
I000113,P00939,B04765,733,160,2023-11-27,2026-11-22,Mumbai,Secondary,7.76
I000114,P06128,B02731,356,67,2023-09-06,2025-12-28,Kolkata,Transit,9.3
I000115,P09901,B02710,736,164,2023-05-15,2025-01-30,Mumbai,Secondary,5.43
I000116,P01890,B03847,863,172,2023-03-31,2024-05-09,Pune,Secondary,1.33
I000117,P06968,B01671,322,77,2023-03-30,2025-10-08,Bangalore,Transit,4.27
I000118,P02932,B02242,865,134,2023-10-12,2025-02-22,Mumbai,Main,7.64
I000119,P02814,B03165,784,185,2023-09-15,2025-01-23,Chennai,Main,1.49
I000120,P09863,B03039,656,68,2023-02-22,2024-12-10,Ahmedabad,Secondary,3.62
I000121,P07184,B04952,670,172,2023-09-07,2025-10-26,Pune,Secondary,8.7
I000122,P05771,B01128,109,62,2023-03-01,2024-12-07,Chennai,Main,4.27
I000123,P08869,B02296,218,134,2023-10-14,2025-06-20,Hyderabad,Transit,4.77
I000124,P01420,B00013,282,169,2023-09-18,2024-10-12,Kolkata,Secondary,3.37
I000125,P00403,B04455,366,52,2023-01-10,2024-09-11,Kolkata,Main,8.83
I000126,P09878,B01812,477,62,2023-02-05,2025-01-22,Ahmedabad,Transit,4.36
I000127,P04218,B04444,844,96,2023-05-31,2025-12-24,Bangalore,Main,5.21
I000128,P03153,B03876,872,184,2023-03-18,2025-04-30,Chennai,Transit,5.22
I000129,P07236,B03516,642,177,2023-07-08,2025-05-08,Kolkata,Secondary,5.03
I000130,P05517,B03124,185,131,2023-03-29,2025-03-05,Pune,Main,6.27
I000131,P01583,B04162,782,169,2023-07-04,2024-09-07,Pune,Secondary,9.75
I000132,P00866,B03040,252,150,2023-08-03,2026-07-15,Chennai,Secondary,5.65
I000133,P07741,B04097,155,112,2023-12-15,2025-11-28,Chennai,Main,9.39
I000134,P02786,B01348,117,74,2023-11-01,2025-01-15,Hyderabad,Transit,9.99
I000135,P08083,B02975,327,176,2023-11-20,2025-05-06,Pune,Transit,1.18
I000136,P00468,B00017,254,180,2023-01-12,2024-10-08,Bangalore,Main,1.83
I000137,P03298,B03481,243,136,2023-04-01,2025-04-27,Delhi,Transit,4.8
I000138,P01585,B03518,170,62,2023-01-20,2025-03-02,Mumbai,Secondary,5.56
I000139,P04632,B04021,47,67,2023-05-09,2024-12-11,Mumbai,Main,7.83
I000140,P02652,B04347,297,147,2023-05-30,2025-01-12,Ahmedabad,Secondary,1.09
I000141,P09474,B00043,555,196,2023-08-08,2026-03-02,Bangalore,Secondary,9.8
I000142,P08406,B00758,2,198,2023-09-24,2025-10-20,Hyderabad,Secondary,5.13
I000143,P05402,B01647,586,60,2023-06-26,2024-10-13,Pune,Secondary,7.63
I000144,P04881,B01618,6,69,2023-09-18,2024-12-29,Ahmedabad,Main,6.5
I000145,P07286,B03278,438,114,2023-11-15,2025-01-11,Hyderabad,Secondary,1.34
I000146,P06133,B03596,798,174,2023-03-21,2024-05-11,Ahmedabad,Transit,8.75
I000147,P02605,B04321,636,164,2023-12-29,2026-03-13,Kolkata,Secondary,3.08
I000148,P04921,B03083,654,119,2023-07-27,2026-02-18,Pune,Secondary,3.24
I000149,P05333,B01168,66,144,2023-12-18,2026-01-25,Delhi,Secondary,4.25
I000150,P03086,B04271,454,145,2023-07-04,2026-03-20,Delhi,Secondary,5.01
I000151,P07119,B00619,911,163,2023-09-10,2026-01-01,Chennai,Transit,6.0
I000152,P01504,B02105,28,180,2023-10-20,2025-10-31,Pune,Secondary,3.08
I000153,P03939,B04502,505,57,2023-12-19,2026-10-31,Chennai,Transit,1.58
I000154,P00652,B04910,996,138,2023-10-06,2026-06-22,Bangalore,Transit,7.78
I000155,P09751,B04500,198,52,2023-03-26,2025-07-07,Ahmedabad,Main,6.05
I000156,P02373,B01181,595,82,2023-06-21,2025-10-18,Ahmedabad,Main,6.53
I000157,P02132,B03658,700,80,2023-09-15,2024-11-30,Chennai,Secondary,5.28
I000158,P05345,B02484,660,88,2023-12-23,2026-01-27,Bangalore,Secondary,1.91
I000159,P08218,B01304,455,79,2023-12-07,2026-01-17,Delhi,Main,5.97
I000160,P04439,B02830,774,108,2023-04-25,2025-02-26,Ahmedabad,Main,8.93
I000161,P00360,B01108,199,58,2023-06-06,2025-08-08,Pune,Secondary,6.63
I000162,P01268,B00842,182,165,2023-09-02,2026-04-09,Hyderabad,Secondary,7.92
I000163,P09814,B02259,666,54,2023-04-29,2025-11-20,Ahmedabad,Transit,0.37
I000164,P07038,B04612,123,97,2023-10-22,2024-11-15,Mumbai,Main,4.78
I000165,P08641,B00485,892,92,2023-06-09,2025-02-22,Hyderabad,Secondary,4.44
I000166,P08104,B04006,489,107,2023-11-10,2025-08-01,Hyderabad,Main,2.34
I000167,P06570,B01227,260,164,2023-02-09,2025-10-18,Mumbai,Main,4.33
I000168,P08568,B03790,755,123,2023-12-07,2026-01-11,Bangalore,Main,2.11
I000169,P06285,B03144,992,91,2023-06-02,2026-04-25,Bangalore,Main,8.42
I000170,P07927,B04610,519,87,2023-06-16,2026-01-28,Mumbai,Main,4.8
I000171,P02928,B03618,191,94,2023-07-12,2026-03-15,Hyderabad,Transit,8.42
I000172,P06345,B00220,8,166,2023-10-21,2026-05-31,Pune,Secondary,9.62
I000173,P04794,B00869,821,179,2023-02-11,2025-12-23,Chennai,Transit,4.39
I000174,P04990,B04935,830,187,2023-07-18,2025-09-12,Mumbai,Transit,3.03
I000175,P08025,B00435,788,54,2023-03-28,2025-04-27,Hyderabad,Transit,3.97
I000176,P06461,B04902,283,70,2023-12-31,2026-05-20,Delhi,Transit,4.98
I000177,P09277,B01474,191,69,2023-02-27,2025-07-21,Bangalore,Secondary,5.46
I000178,P07333,B01713,347,50,2023-02-25,2025-01-14,Delhi,Transit,4.92
I000179,P09949,B02255,156,66,2023-03-23,2025-08-26,Chennai,Transit,9.37
I000180,P03237,B04607,921,168,2023-08-21,2025-11-10,Delhi,Transit,5.44
I000181,P01438,B03330,795,80,2023-01-01,2024-08-03,Delhi,Secondary,9.88
I000182,P08418,B02609,20,57,2023-05-12,2026-01-14,Hyderabad,Transit,8.73
I000183,P07839,B00881,476,53,2023-12-30,2025-06-01,Bangalore,Secondary,6.5
I000184,P09477,B03636,748,82,2023-11-02,2026-09-03,Chennai,Transit,4.47
I000185,P05568,B04460,982,197,2023-01-31,2024-05-24,Kolkata,Transit,9.89
I000186,P07166,B03612,52,171,2023-10-03,2024-10-11,Chennai,Secondary,2.36
I000187,P07524,B00201,451,114,2023-05-03,2026-01-10,Pune,Transit,2.84
I000188,P06564,B03313,732,85,2023-10-06,2025-06-23,Hyderabad,Secondary,6.94
I000189,P09082,B00684,56,180,2023-07-12,2026-01-20,Chennai,Secondary,8.03
I000190,P07076,B03319,697,132,2023-07-05,2024-11-16,Mumbai,Transit,0.6
I000191,P04594,B02391,742,200,2023-10-13,2025-03-14,Mumbai,Transit,9.93
I000192,P06529,B03696,353,61,2023-08-23,2025-12-14,Bangalore,Main,6.27
I000193,P03225,B00369,37,157,2023-08-30,2025-07-26,Bangalore,Main,6.59
I000194,P06657,B02134,4,63,2023-07-05,2025-04-07,Hyderabad,Secondary,0.4
I000195,P01996,B03937,478,68,2023-12-21,2026-11-15,Ahmedabad,Transit,9.93
I000196,P07322,B03947,929,170,2023-04-19,2025-10-26,Chennai,Transit,7.4
I000197,P02249,B01638,668,145,2023-08-19,2026-04-18,Pune,Secondary,8.9
I000198,P05216,B00479,816,174,2023-06-11,2024-07-17,Hyderabad,Secondary,7.92
I000199,P06905,B03924,534,132,2023-03-12,2024-06-15,Pune,Main,2.22
I000200,P01171,B00650,787,120,2023-03-03,2025-01-13,Ahmedabad,Transit,0.9
I000201,P02603,B03286,550,192,2023-04-08,2025-02-19,Hyderabad,Main,8.71
I000202,P01139,B00928,73,67,2023-09-26,2024-11-05,Pune,Secondary,3.18
I000203,P03500,B02187,448,52,2023-07-18,2026-04-05,Mumbai,Secondary,9.04
I000204,P05502,B01172,539,198,2023-06-13,2026-06-03,Mumbai,Secondary,6.12
I000205,P03814,B03647,450,178,2023-09-13,2025-06-05,Mumbai,Main,4.25
I000206,P09671,B01223,657,68,2023-07-29,2026-01-25,Bangalore,Main,2.65
I000207,P05764,B04893,885,93,2023-07-30,2026-03-09,Delhi,Main,3.66
I000208,P05728,B01005,61,98,2023-09-08,2026-04-07,Pune,Secondary,1.63
I000209,P03451,B03458,941,80,2023-09-15,2024-12-10,Pune,Secondary,8.35
I000210,P06293,B04283,752,101,2023-06-09,2026-04-26,Kolkata,Secondary,4.89
I000211,P02772,B04601,486,90,2023-04-22,2024-12-06,Mumbai,Secondary,5.53
I000212,P03572,B02511,332,197,2023-06-17,2025-01-19,Delhi,Transit,3.6
I000213,P01976,B04452,771,151,2023-10-26,2024-10-30,Chennai,Transit,7.33
I000214,P06338,B01176,771,82,2023-10-12,2026-02-17,Delhi,Secondary,1.02
I000215,P05131,B01908,963,109,2023-03-26,2024-09-11,Kolkata,Secondary,9.97
I000216,P08973,B03557,643,120,2023-04-09,2024-10-18,Kolkata,Secondary,6.74
I000217,P02986,B00970,423,120,2023-03-11,2025-10-16,Chennai,Main,0.7
I000218,P06169,B03545,725,196,2023-10-14,2025-12-21,Pune,Secondary,5.01
I000219,P07837,B03619,500,135,2023-06-21,2025-01-18,Delhi,Main,1.08
I000220,P00400,B00958,64,132,2023-08-22,2025-05-31,Kolkata,Secondary,5.3
I000221,P05726,B00925,192,108,2023-04-23,2024-06-15,Chennai,Secondary,3.4
I000222,P03869,B03296,304,113,2023-01-10,2025-07-27,Kolkata,Main,0.75
I000223,P04185,B02597,684,122,2023-08-04,2026-05-30,Delhi,Main,6.07
I000224,P03482,B00700,762,171,2023-06-02,2025-04-28,Pune,Secondary,0.94
I000225,P00739,B00972,668,196,2023-09-16,2025-02-03,Kolkata,Transit,1.38
I000226,P04331,B04788,34,166,2023-04-01,2024-07-20,Chennai,Transit,0.57
I000227,P01402,B03812,293,140,2023-06-19,2025-06-18,Kolkata,Secondary,4.97
I000228,P06858,B02085,861,170,2023-09-11,2026-05-06,Chennai,Main,6.81
I000229,P08362,B04783,984,64,2023-04-18,2026-01-04,Pune,Main,1.89
I000230,P01310,B00284,375,140,2023-09-07,2026-04-09,Kolkata,Secondary,2.19
I000231,P02606,B00701,449,156,2023-12-23,2026-09-04,Ahmedabad,Secondary,8.67
I000232,P07768,B04208,735,144,2023-12-15,2025-08-04,Delhi,Secondary,1.13
I000233,P02642,B03598,563,150,2023-01-23,2025-05-20,Pune,Main,1.87
I000234,P04118,B04777,282,93,2023-03-27,2025-11-09,Bangalore,Transit,0.88
I000235,P00651,B04574,799,105,2023-05-07,2025-04-28,Pune,Main,3.96
I000236,P04875,B03031,527,127,2023-02-25,2024-11-28,Hyderabad,Transit,8.8
I000237,P00232,B00107,675,153,2023-10-17,2026-06-25,Pune,Secondary,5.32
I000238,P00140,B01236,299,185,2023-08-11,2025-11-23,Bangalore,Transit,9.29
I000239,P07019,B04596,453,53,2023-10-31,2024-12-01,Chennai,Main,2.78
I000240,P00145,B01633,68,188,2023-08-21,2025-10-17,Chennai,Secondary,1.52
I000241,P04909,B01369,977,60,2023-11-04,2026-05-09,Mumbai,Transit,3.35
I000242,P00148,B01819,365,103,2023-09-06,2026-06-27,Delhi,Main,0.34
I000243,P06741,B01262,782,199,2023-08-14,2025-11-16,Ahmedabad,Transit,6.04
I000244,P09110,B02730,331,94,2023-06-08,2025-12-29,Pune,Secondary,2.94
I000245,P07765,B03138,73,73,2023-04-10,2024-06-06,Delhi,Secondary,7.43
I000246,P06547,B00032,104,72,2023-05-03,2024-10-21,Bangalore,Secondary,2.39
I000247,P04439,B01018,803,76,2023-02-22,2024-05-21,Delhi,Main,2.06
I000248,P08202,B02145,213,54,2023-03-03,2024-12-31,Mumbai,Main,4.87
I000249,P02249,B00852,156,193,2023-08-24,2026-03-04,Delhi,Transit,7.9
I000250,P09268,B01332,892,63,2023-03-22,2025-12-29,Bangalore,Main,2.2
I000251,P01768,B04341,485,142,2023-02-15,2024-09-06,Delhi,Main,5.12
I000252,P05093,B03147,243,183,2023-11-23,2026-10-12,Mumbai,Secondary,7.61
I000253,P02904,B00917,50,118,2023-08-14,2024-09-17,Hyderabad,Transit,5.22
I000254,P08948,B03758,598,111,2023-09-29,2025-10-17,Delhi,Secondary,2.91
I000255,P05692,B02361,351,109,2023-12-24,2025-03-28,Chennai,Main,5.14
I000256,P07259,B02217,737,181,2023-10-16,2025-04-08,Kolkata,Secondary,1.76
I000257,P07539,B04928,608,134,2023-02-19,2025-06-05,Bangalore,Transit,2.99
I000258,P09465,B00396,346,122,2023-05-27,2025-06-09,Chennai,Secondary,2.41
I000259,P07170,B04903,656,73,2023-04-14,2024-10-13,Chennai,Transit,8.08
I000260,P08018,B01390,486,158,2023-10-14,2025-03-20,Delhi,Main,9.8
I000261,P02433,B03616,888,153,2023-06-27,2025-07-20,Delhi,Secondary,9.35
I000262,P02030,B01363,474,126,2023-11-26,2026-10-13,Delhi,Secondary,4.95
I000263,P08097,B04301,380,102,2023-05-19,2024-09-23,Ahmedabad,Transit,8.73
I000264,P08300,B01082,664,193,2023-10-26,2025-08-31,Hyderabad,Secondary,6.37
I000265,P03971,B00196,905,129,2023-11-13,2026-05-14,Kolkata,Main,7.33
I000266,P02270,B04771,803,53,2023-05-23,2024-07-01,Ahmedabad,Main,5.72
I000267,P07583,B01684,791,75,2023-09-01,2026-02-25,Delhi,Transit,7.99
I000268,P03568,B00531,175,120,2023-12-22,2026-06-03,Hyderabad,Main,8.76
I000269,P00501,B03417,29,104,2023-03-10,2024-10-29,Chennai,Main,4.29
I000270,P00976,B00446,718,131,2023-04-29,2024-12-29,Chennai,Secondary,7.39
I000271,P02635,B03168,878,199,2023-10-30,2025-10-05,Mumbai,Main,1.33
I000272,P01912,B00609,477,106,2023-09-02,2024-09-29,Hyderabad,Secondary,4.57
I000273,P07451,B00614,179,105,2023-07-22,2024-09-02,Chennai,Main,3.89
I000274,P01147,B01311,334,146,2023-10-14,2026-09-16,Hyderabad,Main,9.06
I000275,P02523,B02790,939,175,2023-04-09,2026-03-19,Kolkata,Transit,3.97
I000276,P08101,B02699,269,76,2023-06-25,2025-07-19,Chennai,Transit,1.29
I000277,P09690,B03907,579,57,2023-02-20,2024-08-23,Delhi,Main,3.78
I000278,P04221,B04756,579,60,2023-08-28,2024-11-09,Hyderabad,Main,1.8
I000279,P09165,B03091,602,158,2023-03-31,2025-06-04,Ahmedabad,Transit,0.5
I000280,P09100,B04376,884,86,2023-04-05,2025-04-21,Hyderabad,Transit,9.97
I000281,P07300,B03443,943,152,2023-02-24,2025-04-17,Bangalore,Secondary,5.48
I000282,P00145,B02448,583,98,2023-04-25,2025-03-08,Chennai,Secondary,9.92
I000283,P07443,B01162,3,152,2023-12-31,2026-02-15,Bangalore,Transit,2.66
I000284,P00730,B02244,546,108,2023-02-15,2025-05-29,Mumbai,Transit,9.04
I000285,P04942,B03457,678,61,2023-12-02,2025-08-05,Chennai,Secondary,5.82
I000286,P01915,B04355,272,104,2023-05-27,2024-06-21,Kolkata,Secondary,5.32
I000287,P07189,B00089,0,180,2023-12-31,2026-01-01,Delhi,Secondary,2.65
I000288,P03840,B02769,50,105,2023-03-24,2025-05-15,Mumbai,Secondary,5.09
I000289,P01235,B03153,408,105,2023-01-26,2025-06-10,Pune,Main,9.5
I000290,P03784,B03008,978,142,2023-10-04,2026-02-14,Hyderabad,Secondary,9.5
I000291,P05866,B03973,750,81,2023-12-27,2026-09-04,Mumbai,Secondary,2.92
I000292,P01904,B04936,849,93,2023-03-24,2025-07-27,Delhi,Main,4.09
I000293,P00347,B03176,541,105,2023-06-17,2025-10-07,Mumbai,Main,8.79
I000294,P05611,B03058,498,122,2023-02-12,2024-10-09,Mumbai,Secondary,2.4
I000295,P00412,B01342,49,149,2023-04-25,2026-01-27,Kolkata,Main,0.44
I000296,P03752,B01774,143,130,2023-03-28,2024-12-24,Ahmedabad,Transit,7.85
I000297,P09944,B01552,940,95,2023-01-28,2024-08-06,Ahmedabad,Main,0.91
I000298,P00369,B01516,512,76,2023-08-22,2025-12-27,Pune,Transit,5.73
I000299,P06030,B00855,655,117,2023-09-02,2024-10-29,Delhi,Transit,8.34
I000300,P05709,B01953,150,176,2023-06-10,2026-01-09,Hyderabad,Secondary,7.64
I000301,P02738,B02116,424,118,2023-05-24,2024-11-14,Delhi,Transit,7.12
I000302,P07460,B00623,117,67,2023-03-18,2025-09-08,Kolkata,Secondary,4.81
I000303,P03000,B00968,194,189,2023-12-07,2026-09-13,Bangalore,Secondary,1.31
I000304,P08740,B02585,202,54,2023-05-16,2024-05-18,Chennai,Main,6.53
I000305,P08387,B03880,746,79,2023-10-29,2024-11-16,Chennai,Main,5.42
I000306,P06719,B00951,412,116,2023-03-08,2024-10-15,Pune,Main,1.24
I000307,P05706,B00353,788,95,2023-05-02,2024-12-15,Delhi,Secondary,8.64
I000308,P00223,B00597,354,163,2023-03-24,2024-10-25,Ahmedabad,Main,2.58
I000309,P08724,B02653,26,104,2023-05-10,2025-10-16,Ahmedabad,Main,6.11
I000310,P05561,B01883,490,71,2023-05-20,2025-06-13,Delhi,Secondary,3.66
I000311,P02272,B02005,95,156,2023-04-24,2025-02-03,Mumbai,Main,5.36
I000312,P04022,B04318,727,181,2023-02-20,2025-12-21,Mumbai,Transit,7.72
I000313,P05544,B04376,625,191,2023-10-26,2026-04-20,Ahmedabad,Main,3.26
I000314,P05023,B01142,3,52,2023-10-30,2025-12-17,Delhi,Main,3.37
I000315,P06748,B03897,823,131,2023-11-13,2025-11-23,Hyderabad,Main,4.19
I000316,P06032,B01205,757,101,2023-10-07,2025-05-28,Kolkata,Main,9.79
