DistributorID,DistributorName,City,ContactPerson,Type,Phone,Email,LicenseNumber
D00022,Dist22_Hyderabad,Hyderabad,Mr./Ms. Iyer,Clinic,+91-7905208597,dist22_hyderabad@pharma.com,LIC551093
D00023,Dist23_Ahmedabad,Ahmedabad,Mr./Ms. Patel,Hospital,+91-8544527423,dist23_ahmedabad@pharma.com,LIC657174
D00024,Dist24_Lucknow,Lucknow,Mr./Ms. Reddy,Clinic,+91-8018566704,dist24_lucknow@pharma.com,LIC207539
D00025,Dist25_Pune,Pune,Mr./Ms. Iyer,Retailer,+91-9837841817,dist25_pune@pharma.com,LIC937023
D00026,Dist26_Jaipur,Jaipur,Mr./Ms. Mehta,Retailer,+91-8647141416,dist26_jaipur@pharma.com,LIC787240
D00027,Dist27_Bangalore,Bangalore,Mr./Ms. Sharma,Clinic,+91-7191432263,dist27_bangalore@pharma.com,LIC956280
D00028,Dist28_Chennai,Chennai,Mr./Ms. Singh,Wholesaler,+91-8975257136,dist28_chennai@pharma.com,LIC751805
D00029,Dist29_Chandigarh,Chandigarh,Mr./Ms. Patel,Hospital,+91-7114932977,dist29_chandigarh@pharma.com,LIC371143
D00030,Dist30_Hyderabad,Hyderabad,Mr./Ms. Sharma,Clinic,+91-9654813943,dist30_hyderabad@pharma.com,LIC887071
D00031,Dist31_Chandigarh,Chandigarh,Mr./Ms. Kumar,Retailer,+91-8107223585,dist31_chandigarh@pharma.com,LIC252502
D00032,Dist32_Ahmedabad,Ahmedabad,Mr./Ms. Kumar,Wholesaler,+91-9085139121,dist32_ahmedabad@pharma.com,LIC468298
D00033,Dist33_Jaipur,Jaipur,Mr./Ms. Patel,Wholesaler,+91-9204324478,dist33_jaipur@pharma.com,LIC310048
D00034,Dist34_Mumbai,Mumbai,Mr./Ms. Reddy,Retailer,+91-7325469166,dist34_mumbai@pharma.com,LIC976581
D00035,Dist35_Ahmedabad,Ahmedabad,Mr./Ms. Kumar,Retailer,+91-9168324366,dist35_ahmedabad@pharma.com,LIC640698
D00036,Dist36_Chandigarh,Chandigarh,Mr./Ms. Patel,Hospital,+91-8575783291,dist36_chandigarh@pharma.com,LIC104380
D00037,Dist37_Jaipur,Jaipur,Mr./Ms. Iyer,Hospital,+91-9073949711,dist37_jaipur@pharma.com,LIC242681
D00038,Dist38_Jaipur,Jaipur,Mr./Ms. Reddy,Wholesaler,+91-7485521638,dist38_jaipur@pharma.com,LIC997113
D00039,Dist39_Jaipur,Jaipur,Mr./Ms. Mehta,Hospital,+91-7235963220,dist39_jaipur@pharma.com,LIC945935
D00040,Dist40_Kochi,Kochi,Mr./Ms. Patel,Clinic,+91-9780630392,dist40_kochi@pharma.com,LIC304966
D00041,Dist41_Chandigarh,Chandigarh,Mr./Ms. Patel,Wholesaler,+91-7231405812,dist41_chandigarh@pharma.com,LIC826377
D00042,Dist42_Chennai,Chennai,Mr./Ms. Patel,Hospital,+91-8544268627,dist42_chennai@pharma.com,LIC774349
D00043,Dist43_Delhi,Delhi,Mr./Ms. Iyer,Wholesaler,+91-7122974768,dist43_delhi@pharma.com,LIC443492
D00044,Dist44_Mumbai,Mumbai,Mr./Ms. Kumar,Hospital,+91-8622422186,dist44_mumbai@pharma.com,LIC304303
D00045,Dist45_Bangalore,Bangalore,Mr./Ms. Mehta,Clinic,+91-9545620747,dist45_bangalore@pharma.com,LIC704917
D00046,Dist46_Delhi,Delhi,Mr./Ms. Mehta,Hospital,+91-8624131907,dist46_delhi@pharma.com,LIC787304
D00047,Dist47_Delhi,Delhi,Mr./Ms. Patel,Wholesaler,+91-8298552266,dist47_delhi@pharma.com,LIC439340
D00048,Dist48_Lucknow,Lucknow,Mr./Ms. Iyer,Wholesaler,+91-8747047107,dist48_lucknow@pharma.com,LIC791664
D00049,Dist49_Chennai,Chennai,Mr./Ms. Mehta,Retailer,+91-9973172401,dist49_chennai@pharma.com,LIC320083
D00050,Dist50_Kolkata,Kolkata,Mr./Ms. Iyer,Clinic,+91-8059174437,dist50_kolkata@pharma.com,LIC489236
D00051,Dist51_Bangalore,Bangalore,Mr./Ms. Iyer,Wholesaler,+91-8373585059,dist51_bangalore@pharma.com,LIC439658
D00052,Dist52_Jaipur,Jaipur,Mr./Ms. Iyer,Hospital,+91-8750543275,dist52_jaipur@pharma.com,LIC868814
D00053,Dist53_Indore,Indore,Mr./Ms. Mehta,Retailer,+91-8208908458,dist53_indore@pharma.com,LIC292403
D00054,Dist54_Jaipur,Jaipur,Mr./Ms. Kumar,Hospital,+91-7715508218,dist54_jaipur@pharma.com,LIC222019
D00055,Dist55_Chandigarh,Chandigarh,Mr./Ms. Iyer,Clinic,+91-7536415365,dist55_chandigarh@pharma.com,LIC687433
D00056,Dist56_Hyderabad,Hyderabad,Mr./Ms. Iyer,Retailer,+91-9144582794,dist56_hyderabad@pharma.com,LIC626413
D00057,Dist57_Ahmedabad,Ahmedabad,Mr./Ms. Sharma,Wholesaler,+91-8640601299,dist57_ahmedabad@pharma.com,LIC334311
D00058,Dist58_Chennai,Chennai,Mr./Ms. Iyer,Clinic,+91-8470662511,dist58_chennai@pharma.com,LIC954393
D00059,Dist59_Kolkata,Kolkata,Mr./Ms. Reddy,Retailer,+91-8782347399,dist59_kolkata@pharma.com,LIC511452
D00060,Dist60_Jaipur,Jaipur,Mr./Ms. Sharma,Wholesaler,+91-9992254316,dist60_jaipur@pharma.com,LIC450523
D00061,Dist61_Hyderabad,Hyderabad,Mr./Ms. Kumar,Retailer,+91-7774483918,dist61_hyderabad@pharma.com,LIC791494
D00062,Dist62_Ahmedabad,Ahmedabad,Mr./Ms. Reddy,Wholesaler,+91-9392932789,dist62_ahmedabad@pharma.com,LIC748410
D00063,Dist63_Chandigarh,Chandigarh,Mr./Ms. Patel,Retailer,+91-9339906197,dist63_chandigarh@pharma.com,LIC297375
D00064,Dist64_Kolkata,Kolkata,Mr./Ms. Singh,Wholesaler,+91-8568126039,dist64_kolkata@pharma.com,LIC775289
D00065,Dist65_Hyderabad,Hyderabad,Mr./Ms. Mehta,Hospital,+91-8761535092,dist65_hyderabad@pharma.com,LIC793179
D00066,Dist66_Bhopal,Bhopal,Mr./Ms. Sharma,Clinic,+91-9337117709,dist66_bhopal@pharma.com,LIC848583
D00067,Dist67_Chennai,Chennai,Mr./Ms. Iyer,Retailer,+91-9049130463,dist67_chennai@pharma.com,LIC937751
D00068,Dist68_Bhopal,Bhopal,Mr./Ms. Reddy,Hospital,+91-8208015427,dist68_bhopal@pharma.com,LIC121248
D00069,Dist69_Chandigarh,Chandigarh,Mr./Ms. Mehta,Hospital,+91-8402822817,dist69_chandigarh@pharma.com,LIC936114
D00070,Dist70_Bhopal,Bhopal,Mr./Ms. Singh,Wholesaler,+91-8207768905,dist70_bhopal@pharma.com,LIC129617
D00071,Dist71_Pune,Pune,Mr./Ms. Patel,Wholesaler,+91-8041176182,dist71_pune@pharma.com,LIC610234
D00072,Dist72_Bangalore,Bangalore,Mr./Ms. Kumar,Hospital,+91-9157906069,dist72_bangalore@pharma.com,LIC168797
D00073,Dist73_Pune,Pune,Mr./Ms. Mehta,Wholesaler,+91-7059599859,dist73_pune@pharma.com,LIC238514
D00074,Dist74_Kochi,Kochi,Mr./Ms. Reddy,Clinic,+91-7304691522,dist74_kochi@pharma.com,LIC921399
D00075,Dist75_Jaipur,Jaipur,Mr./Ms. Reddy,Hospital,+91-8644713781,dist75_jaipur@pharma.com,LIC685599
D00076,Dist76_Delhi,Delhi,Mr./Ms. Mehta,Wholesaler,+91-8417787716,dist76_delhi@pharma.com,LIC239444
D00077,Dist77_Chandigarh,Chandigarh,Mr./Ms. Singh,Wholesaler,+91-9672343276,dist77_chandigarh@pharma.com,LIC353087
D00078,Dist78_Chennai,Chennai,Mr./Ms. Mehta,Wholesaler,+91-9054408150,dist78_chennai@pharma.com,LIC982308
D00079,Dist79_Kochi,Kochi,Mr./Ms. Gupta,Hospital,+91-9482680140,dist79_kochi@pharma.com,LIC155578
D00080,Dist80_Hyderabad,Hyderabad,Mr./Ms. Kumar,Wholesaler,+91-8208974936,dist80_hyderabad@pharma.com,LIC106487
D00081,Dist81_Jaipur,Jaipur,Mr./Ms. Mehta,Wholesaler,+91-8693493426,dist81_jaipur@pharma.com,LIC647219
D00082,Dist82_Bangalore,Bangalore,Mr./Ms. Gupta,Clinic,+91-7652908599,dist82_bangalore@pharma.com,LIC128636
D00083,Dist83_Chennai,Chennai,Mr./Ms. Kumar,Clinic,+91-9361201442,dist83_chennai@pharma.com,LIC220723
D00084,Dist84_Chennai,Chennai,Mr./Ms. Kumar,Wholesaler,+91-9394689551,dist84_chennai@pharma.com,LIC360923
D00085,Dist85_Patna,Patna,Mr./Ms. Reddy,Clinic,+91-7850716137,dist85_patna@pharma.com,LIC786190
D00086,Dist86_Pune,Pune,Mr./Ms. Mehta,Wholesaler,+91-7929639132,dist86_pune@pharma.com,LIC250744
D00087,Dist87_Chennai,Chennai,Mr./Ms. Reddy,Retailer,+91-7238058066,dist87_chennai@pharma.com,LIC105296
D00088,Dist88_Delhi,Delhi,Mr./Ms. Singh,Wholesaler,+91-7330713856,dist88_delhi@pharma.com,LIC435502
D00089,Dist89_Pune,Pune,Mr./Ms. Sharma,Wholesaler,+91-9265110025,dist89_pune@pharma.com,LIC228164
D00090,Dist90_Kochi,Kochi,Mr./Ms. Kumar,Retailer,+91-9376455417,dist90_kochi@pharma.com,LIC290289
D00091,Dist91_Bangalore,Bangalore,Mr./Ms. Iyer,Hospital,+91-9687054192,dist91_bangalore@pharma.com,LIC565642
D00092,Dist92_Bangalore,Bangalore,Mr./Ms. Sharma,Hospital,+91-9921331011,dist92_bangalore@pharma.com,LIC885915
D00093,Dist93_Kochi,Kochi,Mr./Ms. Sharma,Retailer,+91-7482904176,dist93_kochi@pharma.com,LIC540182
D00094,Dist94_Kochi,Kochi,Mr./Ms. Patel,Clinic,+91-7775934864,dist94_kochi@pharma.com,LIC319340
D00095,Dist95_Bhopal,Bhopal,Mr./Ms. Sharma,Retailer,+91-8320204062,dist95_bhopal@pharma.com,LIC145210
D00096,Dist96_Bhopal,Bhopal,Mr./Ms. Reddy,Wholesaler,+91-7935442849,dist96_bhopal@pharma.com,LIC373901
D00097,Dist97_Kolkata,Kolkata,Mr./Ms. Kumar,Hospital,+91-7222688685,dist97_kolkata@pharma.com,LIC627672
D00098,Dist98_Kolkata,Kolkata,Mr./Ms. Singh,Hospital,+91-9011150691,dist98_kolkata@pharma.com,LIC222829
D00099,Dist99_Bhopal,Bhopal,Mr./Ms. Gupta,Clinic,+91-8561395652,dist99_bhopal@pharma.com,LIC830737
D00100,Dist100_Chandigarh,Chandigarh,Mr./Ms. Patel,Retailer,+91-7900387967,dist100_chandigarh@pharma.com,LIC614234
D00101,Dist101_Ahmedabad,Ahmedabad,Mr./Ms. Iyer,Retailer,+91-7465713532,dist101_ahmedabad@pharma.com,LIC149997
D00102,Dist102_Chandigarh,Chandigarh,Mr./Ms. Patel,Retailer,+91-7242384976,dist102_chandigarh@pharma.com,LIC265788
D00103,Dist103_Indore,Indore,Mr./Ms. Iyer,Hospital,+91-8151170896,dist103_indore@pharma.com,LIC154305
D00104,Dist104_Mumbai,Mumbai,Mr./Ms. Iyer,Retailer,+91-8267908204,dist104_mumbai@pharma.com,LIC955437
D00105,Dist105_Mumbai,Mumbai,Mr./Ms. Kumar,Retailer,+91-8144177068,dist105_mumbai@pharma.com,LIC389140
D00106,Dist106_Chandigarh,Chandigarh,Mr./Ms. Gupta,Retailer,+91-8235398487,dist106_chandigarh@pharma.com,LIC647149
D00107,Dist107_Bhopal,Bhopal,Mr./Ms. Singh,Hospital,+91-8221046093,dist107_bhopal@pharma.com,LIC517791
D00108,Dist108_Chennai,Chennai,Mr./Ms. Mehta,Clinic,+91-9838358819,dist108_chennai@pharma.com,LIC995278
D00109,Dist109_Mumbai,Mumbai,Mr./Ms. Mehta,Wholesaler,+91-7073603202,dist109_mumbai@pharma.com,LIC952150
D00110,Dist110_Jaipur,Jaipur,Mr./Ms. Iyer,Wholesaler,+91-7957734750,dist110_jaipur@pharma.com,LIC131407
D00111,Dist111_Ahmedabad,Ahmedabad,Mr./Ms. Reddy,Hospital,+91-8626312883,dist111_ahmedabad@pharma.com,LIC277020
D00112,Dist112_Hyderabad,Hyderabad,Mr./Ms. Patel,Hospital,+91-9442661852,dist112_hyderabad@pharma.com,LIC130414
D00113,Dist113_Bangalore,Bangalore,Mr./Ms. Reddy,Wholesaler,+91-9228766666,dist113_bangalore@pharma.com,LIC438625
D00114,Dist114_Kochi,Kochi,Mr./Ms. Singh,Clinic,+91-9651754198,dist114_kochi@pharma.com,LIC914364
D00115,Dist115_Kochi,Kochi,Mr./Ms. Kumar,Wholesaler,+91-7205836932,dist115_kochi@pharma.com,LIC963189
D00116,Dist116_Delhi,Delhi,Mr./Ms. Kumar,Wholesaler,+91-7513353835,dist116_delhi@pharma.com,LIC618828
D00117,Dist117_Lucknow,Lucknow,Mr./Ms. Reddy,Wholesaler,+91-7423784427,dist117_lucknow@pharma.com,LIC931876
D00118,Dist118_Bhopal,Bhopal,Mr./Ms. Reddy,Hospital,+91-8757372180,dist118_bhopal@pharma.com,LIC828868
D00119,Dist119_Kolkata,Kolkata,Mr./Ms. Gupta,Clinic,+91-9838939213,dist119_kolkata@pharma.com,LIC374022
D00120,Dist120_Indore,Indore,Mr./Ms. Singh,Wholesaler,+91-9175413550,dist120_indore@pharma.com,LIC502084
D00121,Dist121_Delhi,Delhi,Mr./Ms. Singh,Hospital,+91-9127243891,dist121_delhi@pharma.com,LIC446028
D00122,Dist122_Ahmedabad,Ahmedabad,Mr./Ms. Iyer,Retailer,+91-7134276057,dist122_ahmedabad@pharma.com,LIC231025
D00123,Dist123_Pune,Pune,Mr./Ms. Singh,Retailer,+91-9308723074,dist123_pune@pharma.com,LIC138415
D00124,Dist124_Indore,Indore,Mr./Ms. Patel,Clinic,+91-7329380990,dist124_indore@pharma.com,LIC430745
D00125,Dist125_Kolkata,Kolkata,Mr./Ms. Mehta,Hospital,+91-9316868722,dist125_kolkata@pharma.com,LIC836166
D00126,Dist126_Hyderabad,Hyderabad,Mr./Ms. Singh,Clinic,+91-7721984713,dist126_hyderabad@pharma.com,LIC743873
D00127,Dist127_Patna,Patna,Mr./Ms. Singh,Hospital,+91-9654707789,dist127_patna@pharma.com,LIC629506
D00128,Dist128_Hyderabad,Hyderabad,Mr./Ms. Gupta,Hospital,+91-7399676914,dist128_hyderabad@pharma.com,LIC843805
D00129,Dist129_Pune,Pune,Mr./Ms. Singh,Retailer,+91-9695422194,dist129_pune@pharma.com,LIC509713
D00130,Dist130_Bangalore,Bangalore,Mr./Ms. Gupta,Wholesaler,+91-7502340789,dist130_bangalore@pharma.com,LIC788723
D00131,Dist131_Hyderabad,Hyderabad,Mr./Ms. Gupta,Wholesaler,+91-8250887677,dist131_hyderabad@pharma.com,LIC980393
D00132,Dist132_Chandigarh,Chandigarh,Mr./Ms. Reddy,Hospital,+91-8797639982,dist132_chandigarh@pharma.com,LIC972336
D00133,Dist133_Ahmedabad,Ahmedabad,Mr./Ms. Patel,Hospital,+91-7661371038,dist133_ahmedabad@pharma.com,LIC771544
D00134,Dist134_Bangalore,Bangalore,Mr./Ms. Reddy,Hospital,+91-8986443053,dist134_bangalore@pharma.com,LIC142576
D00135,Dist135_Patna,Patna,Mr./Ms. Kumar,Wholesaler,+91-7121846787,dist135_patna@pharma.com,LIC772851
D00136,Dist136_Lucknow,Lucknow,Mr./Ms. Gupta,Retailer,+91-8016008268,dist136_lucknow@pharma.com,LIC274264
D00137,Dist137_Bangalore,Bangalore,Mr./Ms. Singh,Clinic,+91-9474587952,dist137_bangalore@pharma.com,LIC194284
D00138,Dist138_Chennai,Chennai,Mr./Ms. Singh,Clinic,+91-9370434850,dist138_chennai@pharma.com,LIC115333
D00139,Dist139_Bhopal,Bhopal,Mr./Ms. Patel,Hospital,+91-7254604884,dist139_bhopal@pharma.com,LIC488939
D00140,Dist140_Chennai,Chennai,Mr./Ms. Kumar,Clinic,+91-9495997606,dist140_chennai@pharma.com,LIC283636
D00141,Dist141_Kolkata,Kolkata,Mr./Ms. Reddy,Hospital,+91-9192384339,dist141_kolkata@pharma.com,LIC885506
D00142,Dist142_Jaipur,Jaipur,Mr./Ms. Mehta,Hospital,+91-7336635496,dist142_jaipur@pharma.com,LIC542175
D00143,Dist143_Kolkata,Kolkata,Mr./Ms. Singh,Retailer,+91-8098320774,dist143_kolkata@pharma.com,LIC686309
D00144,Dist144_Bhopal,Bhopal,Mr./Ms. Sharma,Wholesaler,+91-9715674143,dist144_bhopal@pharma.com,LIC829656
D00145,Dist145_Jaipur,Jaipur,Mr./Ms. Mehta,Hospital,+91-7248414621,dist145_jaipur@pharma.com,LIC517428
D00146,Dist146_Bhopal,Bhopal,Mr./Ms. Gupta,Hospital,+91-7884482782,dist146_bhopal@pharma.com,LIC871380
D00147,Dist147_Jaipur,Jaipur,Mr./Ms. Singh,Clinic,+91-9900128044,dist147_jaipur@pharma.com,LIC644651
D00148,Dist148_Kochi,Kochi,Mr./Ms. Patel,Retailer,+91-7039309150,dist148_kochi@pharma.com,LIC343219
D00149,Dist149_Bhopal,Bhopal,Mr./Ms. Reddy,Wholesaler,+91-9396507035,dist149_bhopal@pharma.com,LIC651609
D00150,Dist150_Kolkata,Kolkata,Mr./Ms. Iyer,Wholesaler,+91-8417214778,dist150_kolkata@pharma.com,LIC302356
D00151,Dist151_Lucknow,Lucknow,Mr./Ms. Gupta,Hospital,+91-7168575371,dist151_lucknow@pharma.com,LIC512499
D00152,Dist152_Bangalore,Bangalore,Mr./Ms. Patel,Hospital,+91-8530580628,dist152_bangalore@pharma.com,LIC460892
D00153,Dist153_Kochi,Kochi,Mr./Ms. Patel,Clinic,+91-9952572254,dist153_kochi@pharma.com,LIC294198
D00154,Dist154_Patna,Patna,Mr./Ms. Reddy,Clinic,+91-7018820418,dist154_patna@pharma.com,LIC553728
D00155,Dist155_Ahmedabad,Ahmedabad,Mr./Ms. Singh,Retailer,+91-7675412725,dist155_ahmedabad@pharma.com,LIC222760
D00156,Dist156_Chennai,Chennai,Mr./Ms. Sharma,Hospital,+91-7094603114,dist156_chennai@pharma.com,LIC181203
D00157,Dist157_Jaipur,Jaipur,Mr./Ms. Gupta,Retailer,+91-9136867150,dist157_jaipur@pharma.com,LIC827406
D00158,Dist158_Bhopal,Bhopal,Mr./Ms. Reddy,Wholesaler,+91-9389603543,dist158_bhopal@pharma.com,LIC945275
D00159,Dist159_Mumbai,Mumbai,Mr./Ms. Sharma,Retailer,+91-9502033477,dist159_mumbai@pharma.com,LIC150035
D00160,Dist160_Ahmedabad,Ahmedabad,Mr./Ms. Singh,Hospital,+91-9365484137,dist160_ahmedabad@pharma.com,LIC907730
D00161,Dist161_Ahmedabad,Ahmedabad,Mr./Ms. Mehta,Retailer,+91-9111311217,dist161_ahmedabad@pharma.com,LIC126805
D00162,Dist162_Chennai,Chennai,Mr./Ms. Singh,Wholesaler,+91-8186327070,dist162_chennai@pharma.com,LIC986964
D00163,Dist163_Kochi,Kochi,Mr./Ms. Reddy,Clinic,+91-9694312573,dist163_kochi@pharma.com,LIC809320
D00164,Dist164_Pune,Pune,Mr./Ms. Kumar,Retailer,+91-8987279516,dist164_pune@pharma.com,LIC700636
D00165,Dist165_Kochi,Kochi,Mr./Ms. Reddy,Retailer,+91-8101926977,dist165_kochi@pharma.com,LIC290393
D00166,Dist166_Mumbai,Mumbai,Mr./Ms. Reddy,Clinic,+91-7435795319,dist166_mumbai@pharma.com,LIC733242
D00167,Dist167_Pune,Pune,Mr./Ms. Gupta,Retailer,+91-8886328708,dist167_pune@pharma.com,LIC660812
D00168,Dist168_Jaipur,Jaipur,Mr./Ms. Singh,Hospital,+91-7611142173,dist168_jaipur@pharma.com,LIC970252
D00169,Dist169_Patna,Patna,Mr./Ms. Iyer,Wholesaler,+91-7416727645,dist169_patna@pharma.com,LIC703742
D00170,Dist170_Delhi,Delhi,Mr./Ms. Gupta,Clinic,+91-8572812077,dist170_delhi@pharma.com,LIC108154
D00171,Dist171_Kolkata,Kolkata,Mr./Ms. Reddy,Retailer,+91-9022370932,dist171_kolkata@pharma.com,LIC983828
D00172,Dist172_Ahmedabad,Ahmedabad,Mr./Ms. Patel,Hospital,+91-9138958173,dist172_ahmedabad@pharma.com,LIC704992
D00173,Dist173_Patna,Patna,Mr./Ms. Iyer,Retailer,+91-8404758017,dist173_patna@pharma.com,LIC591696
D00174,Dist174_Delhi,Delhi,Mr./Ms. Sharma,Wholesaler,+91-7211587300,dist174_delhi@pharma.com,LIC824565
D00175,Dist175_Bhopal,Bhopal,Mr./Ms. Iyer,Retailer,+91-7671295578,dist175_bhopal@pharma.com,LIC561788
D00176,Dist176_Kochi,Kochi,Mr./Ms. Kumar,Wholesaler,+91-7009635853,dist176_kochi@pharma.com,LIC873267
D00177,Dist177_Kochi,Kochi,Mr./Ms. Reddy,Clinic,+91-8509874120,dist177_kochi@pharma.com,LIC755806
D00178,Dist178_Jaipur,Jaipur,Mr./Ms. Singh,Wholesaler,+91-9475802236,dist178_jaipur@pharma.com,LIC386166
D00179,Dist179_Kochi,Kochi,Mr./Ms. Kumar,Clinic,+91-7102026897,dist179_kochi@pharma.com,LIC737328
D00180,Dist180_Delhi,Delhi,Mr./Ms. Sharma,Retailer,+91-9572632035,dist180_delhi@pharma.com,LIC999662
D00181,Dist181_Indore,Indore,Mr./Ms. Kumar,Hospital,+91-9938170994,dist181_indore@pharma.com,LIC936146
D00182,Dist182_Bangalore,Bangalore,Mr./Ms. Sharma,Wholesaler,+91-9892525513,dist182_bangalore@pharma.com,LIC852705
D00183,Dist183_Ahmedabad,Ahmedabad,Mr./Ms. Kumar,Hospital,+91-7119388165,dist183_ahmedabad@pharma.com,LIC430321
D00184,Dist184_Chennai,Chennai,Mr./Ms. Reddy,Clinic,+91-9494666592,dist184_chennai@pharma.com,LIC856493
D00185,Dist185_Mumbai,Mumbai,Mr./Ms. Singh,Retailer,+91-9891418132,dist185_mumbai@pharma.com,LIC107626
D00186,Dist186_Delhi,Delhi,Mr./Ms. Patel,Retailer,+91-7730540564,dist186_delhi@pharma.com,LIC528386
D00187,Dist187_Chandigarh,Chandigarh,Mr./Ms. Iyer,Wholesaler,+91-9386658873,dist187_chandigarh@pharma.com,LIC108599
D00188,Dist188_Kochi,Kochi,Mr./Ms. Iyer,Hospital,+91-7346263950,dist188_kochi@pharma.com,LIC141880
D00189,Dist189_Patna,Patna,Mr./Ms. Gupta,Hospital,+91-9688045567,dist189_patna@pharma.com,LIC904755
D00190,Dist190_Ahmedabad,Ahmedabad,Mr./Ms. Iyer,Wholesaler,+91-8589993505,dist190_ahmedabad@pharma.com,LIC639082
D00191,Dist191_Lucknow,Lucknow,Mr./Ms. Sharma,Hospital,+91-8688592713,dist191_lucknow@pharma.com,LIC727387
D00192,Dist192_Lucknow,Lucknow,Mr./Ms. Patel,Hospital,+91-7061416639,dist192_lucknow@pharma.com,LIC582875
D00193,Dist193_Chandigarh,Chandigarh,Mr./Ms. Mehta,Clinic,+91-8873210214,dist193_chandigarh@pharma.com,LIC344235
D00194,Dist194_Chandigarh,Chandigarh,Mr./Ms. Gupta,Hospital,+91-7650580468,dist194_chandigarh@pharma.com,LIC302592
D00195,Dist195_Chandigarh,Chandigarh,Mr./Ms. Reddy,Retailer,+91-7356175546,dist195_chandigarh@pharma.com,LIC853748
D00196,Dist196_Patna,Patna,Mr./Ms. Sharma,Hospital,+91-8458453981,dist196_patna@pharma.com,LIC316107
D00197,Dist197_Chandigarh,Chandigarh,Mr./Ms. Iyer,Wholesaler,+91-8299832077,dist197_chandigarh@pharma.com,LIC903901
D00198,Dist198_Mumbai,Mumbai,Mr./Ms. Iyer,Clinic,+91-8539055640,dist198_mumbai@pharma.com,LIC762777
D00199,Dist199_Kochi,Kochi,Mr./Ms. Sharma,Retailer,+91-7949691216,dist199_kochi@pharma.com,LIC968045
D00200,Dist200_Hyderabad,Hyderabad,Mr./Ms. Gupta,Retailer,+91-9567551016,dist200_hyderabad@pharma.com,LIC514045
D00201,Dist201_Bangalore,Bangalore,Mr./Ms. Reddy,Wholesaler,+91-9638015373,dist201_bangalore@pharma.com,LIC156443
D00202,Dist202_Chandigarh,Chandigarh,Mr./Ms. Gupta,Retailer,+91-9144545306,dist202_chandigarh@pharma.com,LIC774278
D00203,Dist203_Lucknow,Lucknow,Mr./Ms. Mehta,Retailer,+91-9648260733,dist203_lucknow@pharma.com,LIC628684
D00204,Dist204_Mumbai,Mumbai,Mr./Ms. Iyer,Retailer,+91-7927222339,dist204_mumbai@pharma.com,LIC626572
D00205,Dist205_Ahmedabad,Ahmedabad,Mr./Ms. Singh,Hospital,+91-7553812884,dist205_ahmedabad@pharma.com,LIC253983
